ID;SchoolCode;SchoolName;Address;City;StateCode;ZipCode;Province;Country;PostalCode
27056;G33093;MONTESSORI INSTITUTE OF MILWAUKEE;3195 S. SUPERIOR ST SUITE L428;MILWAUKEE;WI;53207;;;
27057;G33293;JOHN CABOT UNIVERSITY;VIA DELLA LUNGARA  233;ROME;FC;00000;;ITALY;00165
27058;G33325;KWANTLEN UNIVERSITY COLLEGE;12666 72ND AVENUE;SURREY;CN;00000;;CANADA;
27059;G33333;MEDICAL UNIVERSITY SCHOOL OF LUBLIN;AL. RACLALWICKIE 1 STREET;LUBLIN;FC;00000;;POLAND;
27060;G33343;UNIVERSIDAD NORDESTANA;SECCION LOS ARROYOS;SAN FRANCISCO DE MACORI;FC;00000;;DOMINICAN REPUBLIC;
27061;G33353;MEDICAL UNIVERSITY OF SILESIA;UL. PONIATOWSKIEGO 15;KATOWICE;FC;00000;;POLAND;40-055
27062;G33354;CANADIAN UNIVERSITY COLLEGE;5415 COLLEGE AVENUE;LACOMBE;CN;00000;ALBERTA;CANADA;T4L 2E5
27063;G33393;ST. STEPHENS UNIVERSITY;8 MAIN STREET;ST. STEPHEN;CN;00000;NEW BRUNSWICK;CANADA;E3L 3E2
27064;G33423;GLASGOW CALEDONIAN UNIVERSITY;70 COWCADDEN ROAD;GLASGOW;FC;00000;;SCOTLAND;
27065;G33485;REDEEMER UNIVERSITY COLLEGE;777 GARNER ROAD EAST;ANCASTER;CN;00000;;CANADA;L9K 1J4
27066;G33494;QUEEN MARGARET UNIVERSITY, EDINBURGH;QUEEN MARGARET UNIVERSITY DRIVE;EDINBURGH;FC;00000;;SCOTLAND;EH21 6UU
27067;G33503;BOURNEMOUTH UNIVERSITY;TALBOT CAMPUS;POOLE;FC;00000;;ENGLAND;
27068;G33523;LONDON SOUTH BANK UNIVERSITY;103 BOROUGH ROAD;LONDON;FC;00000;;ENGLAND;SEL 0AA
27069;G33533;ACADEMY OF VOCAL ARTS;1920 SPRUCE STREET;PHILADELPHIA;PA;19103;;;
27070;G33554;RICHMONT GRADUATE UNIVERSITY;1815 MCCALLIE AVENUE;CHATTANOOGA;TN;37404;;;
27071;G33743;FLORIDA COASTAL SCHOOL OF LAW;8787 BAYPINE ROAD;JACKSONVILLE;FL;32256;;;
27072;G34184;NAPIER UNIVERSITY;CRAIGHLOCKHART CAMPUS;EDINBURGH;FC;00000;;SCOTLAND;
27073;G34194;NORTHEASTERN SEMINARY;2265 WESTSIDE DRIVE;ROCHESTER;NY;14624;;;
